ID,Name,Age,Gender,Department,Salary,Experience,Performance
1,Alice,25,Female,HR,45000,2,78
2,Bob,30,Male,IT,60000,5,88
3,Charlie,28,Male,Finance,55000,4,85
4,Diana,35,Female,IT,72000,8,92
5,Eva,29,Female,Marketing,52000,3,81
6,Frank,40,Male,Finance,85000,12,95
7,Grace,27,Female,HR,,3,80
8,Henry,31,Male,IT,61000,6,
9,Ivy,26,Female,Marketing,50000,2,79
10,Jack,45,Male,Management,120000,20,98
11,Kate,24,Female,HR,43000,1,76
12,Liam,33,Male,Finance,67000,7,89
13,Mia,29,Female,IT,59000,4,84
14,Noah,38,Male,Management,98000,14,94
15,Olivia,27,Female,Marketing,51000,3,82
16,Paul,36,Male,Finance,73000,9,91
17,Quinn,28,Female,HR,46000,4,83
18,Ryan,32,Male,IT,64000,6,87
19,Sophia,26,Female,Marketing,49500,2,78
20,Tom,41,Male,Management,110000,16,96
21,Alice,25,Female,HR,45000,2,78
22,Uma,,Female,Finance,56000,5,86
23,Victor,34,Male,IT,700000,8,90
24,Wendy,29,Female,Marketing,53000,3,81
25,Xavier,37,Male,Finance,76000,10,93
